TGEAPCET-2024 LAST RANK STATEMENT FIRST PHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inst
 Code",Institute Name,Place,"Dist 
Code",Co Education,College Type,Year of Estab,Branch Code,Branch Name,"OC 
BOYS","OC 
GIRLS","BC_A 
BOYS","BC_A 
GIRLS","BC_B 
BOYS","BC_B 
GIRLS","BC_C 
BOYS","BC_C 
GIRLS","BC_D 
BOYS","BC_D 
GIRLS","BC_E 
BOYS","BC_E 
GIRLS","SC 
BOYS","SC 
GIRLS","ST 
BOYS","ST 
GIRLS","EWS 
GEN OU","EWS 
GIRLS OU",Tuition Fee,Affiliated To
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,48969,48969,159903,159903,132444,132444,48969,48969,48969,161169,48969,48969,170963,177116,176611,176611,154165,154165,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,121375,139847,152358,152358,121375,156948,121375,139847,150603,150603,121375,139847,179446,179446,121375,139847,121375,139847,75000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,89631,89631,137621,156794,118936,118936,89631,89631,135503,135503,121308,121308,179823,179823,165936,165936,150149,150149,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CIV,CIVIL ENGINEERING,118114,118114,172020,172020,162113,162113,171142,171142,171803,171803,129054,163218,177528,177528,170880,170880,118114,118114,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,64288,71240,126114,126114,97740,97740,64288,71240,101423,101423,95655,95655,172100,172100,166888,166888,127048,127048,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,84678,88172,109309,109309,151297,151297,84678,88172,112128,112128,109794,109794,176754,176754,134566,134566,92450,107459,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,106045,106045,167652,167652,168703,168703,106045,106045,123235,151325,149281,149281,173803,175941,167571,167571,106045,106045,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,116385,116385,145359,173731,172537,172537,116385,116385,169442,174471,172178,172178,168968,174129,129946,172938,116385,116385,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MIN,MINING ENGINEERING,100180,100180,162544,176900,167810,167810,100180,178396,152383,152383,100180,100180,169397,176501,166801,176344,100180,100180,65000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CIV,CIVIL ENGINEERING,91086,91086,119962,119962,177072,177072,91086,91086,133494,133494,91086,91086,179391,179391,176214,176214,159195,159195,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,40020,40020,88036,88036,65066,65066,61372,61372,61151,61151,43933,43933,105450,105450,163850,163850,59179,59179,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),49175,49175,120603,120603,75828,87610,49175,65173,73976,73976,80260,84685,131335,131335,169929,172910,71829,71829,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,74070,74070,150671,159679,118078,118078,74070,74070,100969,101667,133482,146632,167676,170059,173382,175542,102362,115755,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,98495,98495,128988,128988,131681,131681,98495,98495,119666,119666,98495,134685,172706,173717,173121,177019,132027,132027,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,64938,64938,126872,158361,112702,128462,64938,64938,73179,95195,145622,145622,168016,168016,178542,179911,74060,74060,90000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSE,COMPUTER SCIENCE AND ENGINEERING,34026,34026,121248,131789,95139,95139,34026,34026,81914,81914,83719,128221,142787,142787,166319,166319,86284,86284,67000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),52129,52129,146517,146517,107990,113824,52129,52129,96863,103980,153779,153779,165524,165779,170893,170893,91182,93334,67000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,67763,67763,162906,162906,126843,126843,67763,109303,112006,112006,127246,127246,169147,170740,169224,173070,130301,130301,67000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CIV,CIVIL ENGINEERING,155931,155931,171278,171278,155931,155931,155931,155931,180357,180357,155931,155931,155931,155931,177696,177696,155931,155931,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),70103,71178,149345,161748,102440,109707,70103,71178,105581,107183,164537,164537,168880,169739,174123,174560,101585,112157,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,54371,54371,97208,112003,86278,86808,77385,77385,76573,79281,102225,102225,165254,165254,131070,179998,75607,81859,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),68009,68794,92072,129235,102120,107335,68009,68794,92136,98795,103455,103455,166895,168938,173729,173729,90223,90223,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,83028,102424,123155,125459,109241,122373,83028,102424,112700,112700,121764,121764,170771,172637,174242,175395,104241,118492,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,102519,105807,156061,156061,162711,162711,102519,147206,134631,134631,155653,155653,175050,178919,177197,177197,158898,158898,60000,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,MEC,MECHANICAL ENGINEERING,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,60000,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,44723,44723,98146,98146,57159,69805,44723,62509,68890,68890,111073,111073,136371,153714,115783,164087,50620,64762,45000,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,CSE,COMPUTER SCIENCE AND ENGINEERING,40764,40764,79693,79693,66895,71810,134947,134947,54464,54492,84536,89407,120412,120412,114363,164999,57238,57238,45000,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,47467,57470,113383,113383,66952,87997,47467,57470,68827,80833,112957,158925,145175,145175,111206,154269,64074,64074,45000,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,MEC,MECHANICAL ENGINEERING,99563,99563,142022,149484,132123,146922,99563,139301,126281,127925,164449,164449,171582,174701,176574,178478,120368,145045,45000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),73256,73256,146274,146274,101504,101504,73256,73256,96310,98145,154692,154692,164877,167168,175754,175754,92683,92683,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),71519,71519,136886,163811,107055,107055,96698,96698,95688,95688,145423,145423,167818,169717,171982,175008,93767,93767,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE AND ENGINEERING,61334,61411,134064,152703,90873,90873,77491,77491,91732,92182,108931,123168,164954,166102,167548,174116,83606,88258,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),64868,66311,115523,164571,101202,101202,64868,66311,87606,94833,64868,128076,167635,167741,172786,172786,79522,92237,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,80097,80097,148383,162578,117909,117909,80097,80097,106637,106637,120154,120154,171265,173304,176511,177822,118954,118954,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,132179,132179,146904,164563,161883,163706,132179,132179,132179,132179,132179,132179,173502,173709,177904,177904,141171,141171,70000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,80198,80198,80198,80198,80198,80198,80198,80198,80198,136798,122244,122244,178104,178104,179442,179442,80198,80198,70000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,41468,68411,119210,119210,87273,89204,41468,76293,79572,79572,129721,129721,165872,169099,167249,175608,77169,77169,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CIV,CIVIL ENGINEERING,60739,97052,148809,148809,146073,160144,135626,135626,132416,132416,60739,163366,121184,175206,136544,157350,60739,153621,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),66723,66723,132948,134209,89103,89103,66723,66723,81153,83411,81894,81894,161680,165490,151787,174049,76239,80219,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),67318,68107,122461,122461,78292,84025,67318,83464,77673,82030,67318,137413,158602,165072,153415,166014,76281,76281,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CSE,COMPUTER SCIENCE AND ENGINEERING,52454,52454,96442,99626,73078,73078,66733,70435,66116,70295,110012,112227,109261,149973,131615,134197,65264,65264,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),61566,61570,104733,115719,76902,77105,76195,76195,75208,81369,116460,116460,143011,163842,164290,166919,73399,74835,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,71367,71367,145831,155839,99816,101071,71367,71367,93526,93526,101363,101363,167556,169640,170302,178531,94402,98432,92000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2009,MEC,MECHANICAL ENGINEERING,51968,51968,51968,107594,141681,163018,162329,162329,161522,164198,161589,161589,173716,175404,171169,171698,51968,51968,92000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CIV,CIVIL ENGINEERING,81020,81020,163490,163490,161000,162005,81020,81020,112439,131745,149879,149879,142030,172656,149700,172723,164647,164647,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),67138,67138,114228,114228,100886,102247,67138,67138,85216,98035,117420,152940,167157,167157,172980,174983,81211,81211,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),63016,63016,129318,146956,98909,98909,63016,85982,90030,90030,154819,163593,168140,169837,172887,172887,73488,73488,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,53311,56751,119255,119255,76743,76743,142415,142415,76636,76636,126710,153477,151333,157009,149157,174459,65687,68091,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),66252,68146,138580,145650,98152,101711,66252,77781,92260,99955,152616,157685,169160,169535,166851,175963,79117,79117,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,78815,78815,164768,164768,112380,112380,105270,105270,104515,110413,156843,156843,171032,174908,172937,174325,99774,99774,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,89122,89122,145274,145274,117186,126530,89122,89122,123934,138528,124225,124225,149477,176413,143781,149211,89122,157107,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,72840,72840,145600,159154,108353,108590,72840,72840,99071,101231,164073,164073,170717,174692,177827,178526,89320,89320,89000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,109217,109217,140296,140296,180125,180125,109217,109217,153659,153659,109217,140153,180348,180348,172391,172391,109217,109217,89000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CIV,CIVIL ENGINEERING,105757,105757,148783,159917,157384,162111,105757,161553,144096,147828,148984,148984,179575,179575,163638,163638,105757,105757,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),86362,86362,162560,162560,121564,123798,86362,86362,111834,111834,163917,163917,173956,178202,179574,179574,154325,154325,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,72584,72584,140282,158720,96595,96595,79344,79344,103022,103022,123036,132437,161979,169132,172120,176937,128195,128195,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),80554,83007,151207,151992,118023,118023,106646,106646,105829,105829,138738,139640,168722,176421,179461,180325,150299,160554,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,CSW,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),96808,96808,148238,148238,143315,143315,126312,126312,124288,125044,150060,150060,178933,178933,180077,180086,145902,145902,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,89289,89289,161359,161359,143219,143219,89289,125191,117226,124455,147726,147726,179334,179334,178029,179991,154798,162202,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,98101,98101,163193,163193,153445,155119,98101,98101,123787,128607,125468,125468,176881,180148,145171,174718,98101,98101,68000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,123217,123217,123217,123217,161794,161794,123217,123217,153568,153568,143487,143487,123217,123217,123217,177267,123217,123217,68000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CIV,CIVIL ENGINEERING,140994,140994,140994,140994,140994,140994,140994,140994,140994,140994,140994,140994,173542,178061,179154,179154,140994,140994,63000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CSE,COMPUTER SCIENCE AND ENGINEERING,65403,104076,164436,164436,163369,163369,65403,124894,138312,161705,146124,160433,172840,172840,176537,176537,148566,148566,63000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),70944,106399,70944,179287,116536,116536,70944,106399,146325,146325,116072,116072,180032,180032,155875,155875,70944,106399,63000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,96973,142723,96973,162811,147050,147050,96973,142723,163059,163059,96973,142723,176643,176643,96973,142723,96973,142723,63000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,97915,179075,97915,179075,97915,179075,97915,179075,97915,179075,170285,179075,97915,179075,177305,179075,97915,179075,63000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,GIRLS,PVT,2008,CIV,CIVIL ENGINEERING,NA,109682,NA,165606,NA,167261,NA,109682,NA,168726,NA,169466,NA,169221,NA,157289,NA,109682,95000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,GIRLS,PVT,2008,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),NA,121551,NA,157114,NA,169722,NA,121551,NA,146981,NA,169914,NA,156076,NA,171277,NA,121551,95000,JNTUH
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,GIRLS,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,84042,NA,117986,NA,123526,NA,113554,NA,112014,NA,134970,NA,127330,NA,138728,NA,124420,95000,JNTUH
